id,family,kind,rarity,set,name,description,icon
gear_weir_gorget,gear,Neck,Green,set_weir,Weir Gorget,Plate at the throat and nowhere else. The Weir learned which wounds end a watch.,gear/gear_weir_gorget.png
gear_weir_brigandine,gear,Torso,Green,set_weir,Weir Brigandine,Riveted from the scrap of three older coats. Every plate in it has already survived something.,gear/gear_weir_brigandine.png
gear_causeway_seal,gear,Ring1,Green,set_weir,Causeway Seal Ring,Ash-pitted signet of a road warden. The Ashen Causeway still has wardens. They are just not paid.,gear/gear_causeway_seal.png
gear_marchwarden_band,gear,Ring2,Green,set_weir,Marchwarden's Band,"Worn thin at one edge, where a thumb rubbed through forty years of standing still.",gear/gear_marchwarden_band.png
gear_weir_courser,gear,Mount,Green,set_weir,Weir Courser,"Bred for the courier roads. Not fast. Tireless, which on the frontier is the same as fast.",gear/gear_weir_courser.png
gear_weir_marchboots,gear,Boots,Green,set_weir,Weir Marchboots,"Resoled more times than made. The Weir counts a boot's age in roads, not years.",gear/gear_weir_marchboots.png
gear_weir_handguards,gear,Gloves,Green,set_weir,Weir Handguards,Cut long at the wrist. A frontier warden reaches into places they cannot see.,gear/gear_weir_handguards.png
gear_relay_hood,gear,Head,Blue,set_relay,Relaykeeper's Hood,"Oiled against frost, hemmed in lamp-black. Worn by the ones who kept the dead lamps burning.",gear/gear_relay_hood.png
gear_relay_torc,gear,Neck,Blue,set_relay,Torc of the Quiet Wind,"Cold iron, warm at the throat. The Watch says it hums a half-beat before a relay fails.",gear/gear_relay_torc.png
gear_relay_coat,gear,Torso,Blue,set_relay,Relay Coat,"Long, grey, unremarkable, which is the point. A courier who is looked at twice is a dead courier.",gear/gear_relay_coat.png
gear_lamp_seal,gear,Ring1,Blue,set_relay,Lamplighter's Seal,Proof the bearer may enter a sealed relay. Nine in ten of those relays no longer answer.,gear/gear_lamp_seal.png
gear_vaultkeeper_band,gear,Ring2,Blue,set_relay,Vaultkeeper's Band,"Taken from the Sunken Vaults, which the Watch marked as sealed and the water did not.",gear/gear_vaultkeeper_band.png
gear_relay_charger,gear,Mount,Blue,set_relay,Relay Charger,"Trained to run a route with no rider. Several still do, on roads no one has walked in an Age.",gear/gear_relay_charger.png
gear_relay_treads,gear,Boots,Blue,set_relay,Frostmere Treads,Nailed for ice. Frostmere takes a careless step and keeps it.,gear/gear_relay_treads.png
gear_relay_grips,gear,Gloves,Blue,set_relay,Lampwright's Grips,Scorched across the palms. The lamps of the Watch were never meant to be handled cold.,gear/gear_relay_grips.png
gear_sable_circlet,gear,Head,Purple,set_sable_vein,Sable Vein Circlet,"Archive work. The script around the band is a catalogue number, and the thing catalogued is you.",gear/gear_sable_circlet.png
gear_sable_collar,gear,Neck,Purple,set_sable_vein,Threnody Collar,Worn by a scribe who recorded a Manifestation from close enough to be corrected by it.,gear/gear_sable_collar.png
gear_sable_mantle,gear,Torso,Purple,set_sable_vein,Mantle of the Sable Vein,"Black on black, and the inner black is older. The Houses do not explain their dyes.",gear/gear_sable_mantle.png
gear_sable_seal,gear,Ring1,Purple,set_sable_vein,House Sable Seal,Opens an archive hall that appears on no map the Houses admit to holding.,gear/gear_sable_seal.png
gear_sable_band,gear,Ring2,Purple,set_sable_vein,Vein-Cut Band,Split by a hairline fracture that has not widened in two hundred years of being watched.,gear/gear_sable_band.png
gear_sable_courser,gear,Mount,Purple,set_sable_vein,Sable Courser,"Archive stock. It will not cross running water, and the Houses have never said why.",gear/gear_sable_courser.png
gear_sable_treads,gear,Boots,Purple,set_sable_vein,Stair-Worn Boots,"Taken off the Eternal Stair. The wear is at the toe, not the heel. Whoever wore them was climbing.",gear/gear_sable_treads.png
gear_sable_grips,gear,Gloves,Purple,set_sable_vein,Archivist's Grips,"Thin, precise, reinforced at the fingertips. Some things in an archive must be held down.",gear/gear_sable_grips.png
gear_cinder_cuff,gear,Gloves,Orange,,The Cinder-Cuff,"Wrath-slag, cooled and cuffed. It makes the wearer stronger and angrier in the same motion, and does not distinguish between the two.",gear/gear_cinder_cuff.png
gear_unworn_crown,gear,Head,Orange,,The Unworn Crown,"A circlet of a dark metal no living smith can name, made for a head no carving depicts. It has never, in any account, been worn. The Old Guard kept it because they were afraid to be the ones who found out why.",gear/gear_unworn_crown.png
gear_cold_token,gear,Neck,Orange,,The Vanguard's Cold Token,"Kin to the lost signet: the same unknown script worn nearly smooth, the same cold that does not warm in the hand. Nobody alive can read it. That is the whole of what is known.",gear/gear_cold_token.png
gear_colossus_core,gear,Torso,Orange,,Colossus-Core Shard,"Pried from a war-construct that never stood down. It still pulses with the last order it was given, and there is no one left to amend it: hold.",gear/gear_colossus_core.png
gear_sovereign_tithe,gear,Ring1,Orange,,Sovereign's Tithe-Mark,Granted by the Gauntlet in the name of the founding pact. It marks a fighter as having paid the tithe. What the Sovereign was promised is recorded nowhere a fighter may read.,gear/gear_sovereign_tithe.png
gear_sealwright_stylus,gear,Ring2,Orange,,The Sealwright's Stylus,"The instrument that inscribed null-sigil bindings, the script that holds a thing closed. The Old Guard made few and accounted for every one. This one is not on the ledger.",gear/gear_sealwright_stylus.png
gear_warrens_lamp_hood,gear,Head,Green,set_warrens,Warrens Lamp-Hood,"A hood with a lamp bracket sewn at the temple. Both hands stay free, which in a warren is the whole argument.",gear/gear_warrens_lamp_hood.png
gear_warrens_choker,gear,Neck,Green,set_warrens,Ratter's Choker,"Leather, doubled. Goblins go for the throat because it works, so the Weir stopped leaving it bare.",gear/gear_warrens_choker.png
gear_warrens_jack,gear,Torso,Green,set_warrens,Warrens Jack,"Quilted and short-cut. Long coats catch on everything down there, and everything down there catches back.",gear/gear_warrens_jack.png
gear_warrens_seal,gear,Ring1,Green,set_warrens,Tunnel-Warden's Seal,Marks the bearer as the one who counts everyone back out. It is not a promotion.,gear/gear_warrens_seal.png
gear_warrens_knuckle,gear,Ring2,Green,set_warrens,Knuckle-Ring of the Weir,Worn on the outside of the glove. Frontier smiths call this an ornament and frontier wardens do not.,gear/gear_warrens_knuckle.png
gear_warrens_pitpony,gear,Mount,Green,set_warrens,Warrens Pit-Pony,"Small, foul-tempered, and unbothered by the dark. It has walked out of places its riders did not.",gear/gear_warrens_pitpony.png
gear_warrens_treads,gear,Boots,Green,set_warrens,Warrens Treads,Nailed flat for wet stone. A warren floor is never dry and never once been level.,gear/gear_warrens_treads.png
gear_warrens_grips,gear,Gloves,Green,set_warrens,Ratter's Grips,Reinforced across the back of the hand. You will be hitting things that are already biting you.,gear/gear_warrens_grips.png
gear_marchwatch_helm,gear,Head,Green,set_marchwatch,Marchwatch Helm,"Open-faced, because a watch that cannot see is a wall with a man behind it.",gear/gear_marchwatch_helm.png
gear_marchwatch_gorget,gear,Neck,Green,set_marchwatch,Watchman's Gorget,"Plain steel, no device. A marchwatch is not a house and does not want to be mistaken for one.",gear/gear_marchwatch_gorget.png
gear_marchwatch_coat,gear,Torso,Green,set_marchwatch,Long Marchwatch Coat,Cut to the knee and lined against the wind. Most of the job is weather.,gear/gear_marchwatch_coat.png
gear_marchwatch_ring,gear,Ring1,Green,set_marchwatch,Ring of the Standing Watch,Given at the end of a first full winter on the line. Most are given posthumously; this one was not.,gear/gear_marchwatch_ring.png
gear_marchwatch_tally,gear,Ring2,Green,set_marchwatch,Tally-Ring,Notched once a season. A warden with a smooth ring is new; one with a worn ring is rare.,gear/gear_marchwatch_tally.png
gear_marchwatch_rounder,gear,Mount,Green,set_marchwatch,Marchwatch Rounder,Trained to walk a circuit and stop at every marker without being asked. It knows the route better than the rider.,gear/gear_marchwatch_rounder.png
gear_marchwatch_boots,gear,Boots,Green,set_marchwatch,Marchwatch Boots,"Heavy, and worn through at the heel rather than the toe — the wear pattern of a man who stands.",gear/gear_marchwatch_boots.png
gear_marchwatch_mitts,gear,Gloves,Green,set_marchwatch,Watch Mitts,Split at the fingertips so a bowstring can still be felt. Frostbite is a slower enemy but it is patient.,gear/gear_marchwatch_mitts.png
gear_gravewarden_hood,gear,Head,Blue,set_gravewarden,Gravewarden's Hood,Waxed against the smell. The Watch is direct about what the job involves.,gear/gear_gravewarden_hood.png
gear_gravewarden_seal,gear,Neck,Blue,set_gravewarden,Seal of the Quiet Ground,Worn so a warden can be identified if they do not come back up. It has been needed.,gear/gear_gravewarden_seal.png
gear_gravewarden_coat,gear,Torso,Blue,set_gravewarden,Gravewarden's Coat,"Heavy canvas with iron at the forearms, because the thing you are moving sometimes moves back.",gear/gear_gravewarden_coat.png
gear_gravewarden_band,gear,Ring1,Blue,set_gravewarden,Binding Band,"Old sigil-work, worn smooth. It does not hold anything closed any more. The Watch wears it anyway.",gear/gear_gravewarden_band.png
gear_gravewarden_signet,gear,Ring2,Blue,set_gravewarden,Warden's Signet,Authorises the bearer to open a marked grave. There is no ring that authorises closing one.,gear/gear_gravewarden_signet.png
gear_gravewarden_dray,gear,Mount,Blue,set_gravewarden,Gravewarden's Dray,Bred to stand still while unpleasant work happens behind it. The rarest quality a horse can have.,gear/gear_gravewarden_dray.png
gear_gravewarden_wades,gear,Boots,Blue,set_gravewarden,Marsh Wades,Thigh-high and pitch-sealed. The Hollow Marches are where the Watch does most of this.,gear/gear_gravewarden_wades.png
gear_gravewarden_gauntlets,gear,Gloves,Blue,set_gravewarden,Gravewarden's Gauntlets,Iron over leather over iron. Whatever is down there does not get to hold your hand.,gear/gear_gravewarden_gauntlets.png
gear_drowned_helm,gear,Head,Blue,set_drowned,Salvager's Helm,Sealed at the collar with a glass plate. The Vaults are dark before they are deep.,gear/gear_drowned_helm.png
gear_drowned_torc,gear,Neck,Blue,set_drowned,Tidewatch Torc,"Cold in cold water, warm in water that is not. Salvagers do not agree on what the warm kind means.",gear/gear_drowned_torc.png
gear_drowned_harness,gear,Torso,Blue,set_drowned,Salvage Harness,"Rings and line, no plate. Down there weight is not protection, it is a decision.",gear/gear_drowned_harness.png
gear_drowned_seal,gear,Ring1,Blue,set_drowned,Vault-Seal Ring,Old Guard work. It opens one door in the Sunken Vaults and nobody has found which.,gear/gear_drowned_seal.png
gear_drowned_band,gear,Ring2,Blue,set_drowned,Barnacle Band,Recovered encrusted and left that way. Coast salvagers say a clean ring means a short career.,gear/gear_drowned_band.png
gear_drowned_courser,gear,Mount,Blue,set_drowned,Coastwise Courser,Sure-footed on wet shale and entirely unwilling to enter water above the knee. It has its reasons.,gear/gear_drowned_courser.png
gear_drowned_boots,gear,Boots,Blue,set_drowned,Shalewalkers,Soled in cork and iron. The Drowned Coast is loose all the way down.,gear/gear_drowned_boots.png
gear_drowned_grips,gear,Gloves,Blue,set_drowned,Salvager's Grips,"Webbed, tarred, and cut short at the thumb so a knot can still be tied blind.",gear/gear_drowned_grips.png
gear_wrought_visor,gear,Head,Purple,set_wroughtbreaker,Breaker's Visor,"Slit-narrow and backed in lead. A Wrought does not aim, which makes it worse, not better.",gear/gear_wrought_visor.png
gear_wrought_collar,gear,Neck,Purple,set_wroughtbreaker,Siege Collar,Braced to the shoulders. It exists so the head stays on when the arm stops something heavy.,gear/gear_wrought_collar.png
gear_wrought_plate,gear,Torso,Purple,set_wroughtbreaker,Wroughtbreaker Plate,Layered against impact rather than edge. Nothing made by the Old Guard bothers with edges.,gear/gear_wrought_plate.png
gear_wrought_keyring,gear,Ring1,Purple,set_wroughtbreaker,Sigil-Key Ring,Reads a commanding sigil well enough to guess at its order. Guessing is the whole trade.,gear/gear_wrought_keyring.png
gear_wrought_band,gear,Ring2,Purple,set_wroughtbreaker,Breaker's Band,Cast from the melt of a construct that finally stopped. The Weir keeps the melt and the tally.,gear/gear_wrought_band.png
gear_wrought_destrier,gear,Mount,Purple,set_wroughtbreaker,Siege Destrier,Trained to stand under a falling thing. Horses are not built for this and it is taught anyway.,gear/gear_wrought_destrier.png
gear_wrought_sabatons,gear,Boots,Purple,set_wroughtbreaker,Breaker's Sabatons,Weighted so a shove does not become a fall. A Wrought's first move is almost always a shove.,gear/gear_wrought_sabatons.png
gear_wrought_gauntlets,gear,Gloves,Purple,set_wroughtbreaker,Wroughtbreaker Gauntlets,Built to hold a bar against a moving core until the order stops. Most pairs are used once.,gear/gear_wrought_gauntlets.png
gear_choir_crown,gear,Head,Purple,set_choir,Listener's Circlet,"Thin, and open at the ears by design. The Choir does not cover what it uses.",gear/gear_choir_crown.png
gear_choir_stole,gear,Neck,Purple,set_choir,Resonant Stole,It hums a half-tone under any sung note. The Choir considers this agreement.,gear/gear_choir_stole.png
gear_choir_vestment,gear,Torso,Purple,set_choir,Dawnward Vestment,"Undyed, unadorned, and cut so it hangs still in wind. Movement is noise and noise is interference.",gear/gear_choir_vestment.png
gear_choir_ring,gear,Ring1,Purple,set_choir,Ring of the First Answer,Worn by whoever spoke when something answered. The Choir has four. It will not say to what.,gear/gear_choir_ring.png
gear_choir_band,gear,Ring2,Purple,set_choir,Attendant's Band,Given to those who stand and do not sing. Somebody has to be listening to the listeners.,gear/gear_choir_band.png
gear_choir_palfrey,gear,Mount,Purple,set_choir,Choir Palfrey,"Trained to a whisper and unshod, so a procession arrives without announcing itself.",gear/gear_choir_palfrey.png
gear_choir_slippers,gear,Boots,Purple,set_choir,Vigil Slippers,Soft-soled. The Choir keeps its vigils barefoot where the ground permits and these where it does not.,gear/gear_choir_slippers.png
gear_choir_wraps,gear,Gloves,Purple,set_choir,Cantor's Wraps,"Linen, wound to the second knuckle. A Cantor's hands are for counting time, not for holding.",gear/gear_choir_wraps.png
gear_sovereign_diadem,gear,Head,Orange,set_sovereign,Sovereign's Diadem,"Worn by whoever currently holds the Dragon bracket. It is returned, always, and never willingly.",gear/gear_sovereign_diadem.png
gear_sovereign_collar,gear,Neck,Orange,set_sovereign,Collar of the Founding Pact,Names the Gauntlet's first tithe in a script the tournament no longer teaches.,gear/gear_sovereign_collar.png
gear_sovereign_cuirass,gear,Torso,Orange,set_sovereign,Regalia Cuirass,Ceremonial in cut and emphatically not in construction. The Gauntlet has always been honest about that.,gear/gear_sovereign_cuirass.png
gear_sovereign_signet,gear,Ring1,Orange,set_sovereign,Sovereign's Signet,Opens the Gauntlet's inner registry. What is written there is the pact's other half.,gear/gear_sovereign_signet.png
gear_sovereign_band,gear,Ring2,Orange,set_sovereign,Tithe-Band,One notch per climb paid. Nobody has found the ring where the notches run out.,gear/gear_sovereign_band.png
gear_sovereign_wyrm,gear,Mount,Orange,set_sovereign,Sovereign's Wyrm,"Not a gift. A loan, from an institution that has never once explained its terms.",gear/gear_sovereign_wyrm.png
gear_sovereign_greaves,gear,Boots,Orange,set_sovereign,Regalia Greaves,"Made to be seen on a stair. The Eternal Stair, specifically, and the Gauntlet knows it.",gear/gear_sovereign_greaves.png
gear_sovereign_gauntlets,gear,Gloves,Orange,set_sovereign,Sovereign's Gauntlets,"The Gauntlet's namesake, and the only pair the tournament has ever formally issued.",gear/gear_sovereign_gauntlets.png
gear_stoned_horns,gear,Head,Orange,set_stoned_devil,The Sundown Ember,"Rolled at dusk, lit at dusk, and worn behind one ear like a circlet by an archdevil who maintains this is what it is for. The congregation stopped correcting him some centuries ago. It has never gone out, and nobody has ever seen him relight it.",gear/gear_stoned_horns.png
gear_stoned_censer,gear,Neck,Orange,set_stoned_devil,The Perpetual Censer,"A vessel lit some time during the Age of Dawn and never once refilled. There is still some left. There has always been some left. Those who come to kneel do not always remember, afterwards, what they came to ask.",gear/gear_stoned_censer.png
gear_stoned_robe,gear,Torso,Orange,set_stoned_devil,Robe of the Long Sabbatical,"Cut for a being who intended to sit down and has now been sitting down for an Age. Remarkably comfortable. Alarmingly hard to damage. It smells, faintly and permanently, of the room.",gear/gear_stoned_robe.png
gear_stoned_signet,gear,Ring1,Orange,set_stoned_devil,Signet of Declined Ascendancy,"He was offered a throne. He read the terms, asked two questions nobody could answer, and went back inside. He says he will look at it again. He has been saying so for four hundred years.",gear/gear_stoned_signet.png
gear_stoned_band,gear,Ring2,Orange,set_stoned_devil,Band of the Fourth Reconsideration,There were three earlier ones. He is not looking for them. He is fairly certain one of them is in the garden.,gear/gear_stoned_band.png
gear_stoned_goat,gear,Mount,Orange,set_stoned_devil,Extremely Relaxed Hell-Goat,"It will carry you anywhere at exactly one speed. Attempts to hurry it have never once succeeded and, by every account, have never once been forgiven.",gear/gear_stoned_goat.png
gear_stoned_slippers,gear,Boots,Orange,set_stoned_devil,Slippers of the Unwalked Path,Immaculate. Not a scuff on them. He means to go out. He means to go out most evenings.,gear/gear_stoned_slippers.png
gear_stoned_mitts,gear,Gloves,Orange,set_stoned_devil,Mitts of Amiable Menace,"He shakes hands. It is worse than the alternative and takes considerably longer. He will ask after your family, and he will remember the answer, which is the genuinely frightening part.",gear/gear_stoned_mitts.png
mat_iron_shard,item,Material,Grey,,Iron Shard,A fragment of the Iron Colossus. Used in crafting.,item/mat_iron_shard.png
mat_arcane_dust,item,Material,White,,Arcane Dust,Residual arcane energy left behind by Malachar's servants.,item/mat_arcane_dust.png
statbag_minor,item,StatBag,Green,,Minor Stat Bag,Contains 5 unassigned skill points. Use to add to your stat pool.,item/statbag_minor.png
statbag_major,item,StatBag,Blue,,Major Stat Bag,Contains 15 unassigned skill points. Use to add to your stat pool.,item/statbag_major.png
sigil_ironcolossus,item,Sigil,Green,,Iron Sigil (Normal),A binding sigil used to summon the Iron Colossus on Normal difficulty.,item/sigil_ironcolossus.png
sigil_ironcolossus,item,Sigil,Blue,,Iron Sigil (Hard),A binding sigil used to summon the Iron Colossus on Hard difficulty.,item/sigil_ironcolossus.png
sigil_ironcolossus,item,Sigil,Purple,,Iron Sigil (Legendary),A binding sigil used to summon the Iron Colossus on Legendary difficulty.,item/sigil_ironcolossus.png
sigil_ironcolossus,item,Sigil,Orange,,Iron Sigil (Nightmare),A binding sigil used to summon the Iron Colossus on Nightmare difficulty.,item/sigil_ironcolossus.png
sigil_malachar,item,Sigil,Green,,Malachar's Sigil (Normal),A dark sigil bound to Malachar's essence. Summons him on Normal difficulty.,item/sigil_malachar.png
sigil_malachar,item,Sigil,Blue,,Malachar's Sigil (Hard),A dark sigil bound to Malachar's essence. Summons him on Hard difficulty.,item/sigil_malachar.png
sigil_malachar,item,Sigil,Purple,,Malachar's Sigil (Legendary),A dark sigil bound to Malachar's essence. Summons him on Legendary difficulty.,item/sigil_malachar.png
sigil_malachar,item,Sigil,Orange,,Malachar's Sigil (Nightmare),A dark sigil bound to Malachar's essence. Summons him on Nightmare difficulty.,item/sigil_malachar.png
sigil_c1z1b,item,Sigil,Green,,Ashen Causeway Sigil (Normal),A binding sigil used to summon Guardian of Ashen Causeway on Normal difficulty.,item/sigil_c1z1b.png
sigil_c1z1b,item,Sigil,Blue,,Ashen Causeway Sigil (Hard),A binding sigil used to summon Guardian of Ashen Causeway on Hard difficulty.,item/sigil_c1z1b.png
sigil_c1z1b,item,Sigil,Purple,,Ashen Causeway Sigil (Legendary),A binding sigil used to summon Guardian of Ashen Causeway on Legendary difficulty.,item/sigil_c1z1b.png
sigil_c1z1b,item,Sigil,Orange,,Ashen Causeway Sigil (Nightmare),A binding sigil used to summon Guardian of Ashen Causeway on Nightmare difficulty.,item/sigil_c1z1b.png
sigil_c1z2b,item,Sigil,Green,,Hollow Marches Sigil (Normal),A binding sigil used to summon Guardian of Hollow Marches on Normal difficulty.,item/sigil_c1z2b.png
sigil_c1z2b,item,Sigil,Blue,,Hollow Marches Sigil (Hard),A binding sigil used to summon Guardian of Hollow Marches on Hard difficulty.,item/sigil_c1z2b.png
sigil_c1z2b,item,Sigil,Purple,,Hollow Marches Sigil (Legendary),A binding sigil used to summon Guardian of Hollow Marches on Legendary difficulty.,item/sigil_c1z2b.png
sigil_c1z2b,item,Sigil,Orange,,Hollow Marches Sigil (Nightmare),A binding sigil used to summon Guardian of Hollow Marches on Nightmare difficulty.,item/sigil_c1z2b.png
sigil_c2z1b,item,Sigil,Green,,Emberfall Reach Sigil (Normal),A binding sigil used to summon Guardian of Emberfall Reach on Normal difficulty.,item/sigil_c2z1b.png
sigil_c2z1b,item,Sigil,Blue,,Emberfall Reach Sigil (Hard),A binding sigil used to summon Guardian of Emberfall Reach on Hard difficulty.,item/sigil_c2z1b.png
sigil_c2z1b,item,Sigil,Purple,,Emberfall Reach Sigil (Legendary),A binding sigil used to summon Guardian of Emberfall Reach on Legendary difficulty.,item/sigil_c2z1b.png
sigil_c2z1b,item,Sigil,Orange,,Emberfall Reach Sigil (Nightmare),A binding sigil used to summon Guardian of Emberfall Reach on Nightmare difficulty.,item/sigil_c2z1b.png
sigil_c2z2b,item,Sigil,Green,,Cinderwood Sigil (Normal),A binding sigil used to summon Guardian of Cinderwood on Normal difficulty.,item/sigil_c2z2b.png
sigil_c2z2b,item,Sigil,Blue,,Cinderwood Sigil (Hard),A binding sigil used to summon Guardian of Cinderwood on Hard difficulty.,item/sigil_c2z2b.png
sigil_c2z2b,item,Sigil,Purple,,Cinderwood Sigil (Legendary),A binding sigil used to summon Guardian of Cinderwood on Legendary difficulty.,item/sigil_c2z2b.png
sigil_c2z2b,item,Sigil,Orange,,Cinderwood Sigil (Nightmare),A binding sigil used to summon Guardian of Cinderwood on Nightmare difficulty.,item/sigil_c2z2b.png
sigil_c2z3b,item,Sigil,Green,,Gloomspire Sigil (Normal),A binding sigil used to summon Guardian of Gloomspire on Normal difficulty.,item/sigil_c2z3b.png
sigil_c2z3b,item,Sigil,Blue,,Gloomspire Sigil (Hard),A binding sigil used to summon Guardian of Gloomspire on Hard difficulty.,item/sigil_c2z3b.png
sigil_c2z3b,item,Sigil,Purple,,Gloomspire Sigil (Legendary),A binding sigil used to summon Guardian of Gloomspire on Legendary difficulty.,item/sigil_c2z3b.png
sigil_c2z3b,item,Sigil,Orange,,Gloomspire Sigil (Nightmare),A binding sigil used to summon Guardian of Gloomspire on Nightmare difficulty.,item/sigil_c2z3b.png
sigil_c3z0b,item,Sigil,Green,,Keepwall Sigil (Normal),A binding sigil used to summon Guardian of Keepwall on Normal difficulty.,item/sigil_c3z0b.png
sigil_c3z0b,item,Sigil,Blue,,Keepwall Sigil (Hard),A binding sigil used to summon Guardian of Keepwall on Hard difficulty.,item/sigil_c3z0b.png
sigil_c3z0b,item,Sigil,Purple,,Keepwall Sigil (Legendary),A binding sigil used to summon Guardian of Keepwall on Legendary difficulty.,item/sigil_c3z0b.png
sigil_c3z0b,item,Sigil,Orange,,Keepwall Sigil (Nightmare),A binding sigil used to summon Guardian of Keepwall on Nightmare difficulty.,item/sigil_c3z0b.png
sigil_c3z1b,item,Sigil,Green,,Sunken Vaults Sigil (Normal),A binding sigil used to summon Guardian of Sunken Vaults on Normal difficulty.,item/sigil_c3z1b.png
sigil_c3z1b,item,Sigil,Blue,,Sunken Vaults Sigil (Hard),A binding sigil used to summon Guardian of Sunken Vaults on Hard difficulty.,item/sigil_c3z1b.png
sigil_c3z1b,item,Sigil,Purple,,Sunken Vaults Sigil (Legendary),A binding sigil used to summon Guardian of Sunken Vaults on Legendary difficulty.,item/sigil_c3z1b.png
sigil_c3z1b,item,Sigil,Orange,,Sunken Vaults Sigil (Nightmare),A binding sigil used to summon Guardian of Sunken Vaults on Nightmare difficulty.,item/sigil_c3z1b.png
sigil_c3z2b,item,Sigil,Green,,Throne Approach Sigil (Normal),A binding sigil used to summon Guardian of Throne Approach on Normal difficulty.,item/sigil_c3z2b.png
sigil_c3z2b,item,Sigil,Blue,,Throne Approach Sigil (Hard),A binding sigil used to summon Guardian of Throne Approach on Hard difficulty.,item/sigil_c3z2b.png
sigil_c3z2b,item,Sigil,Purple,,Throne Approach Sigil (Legendary),A binding sigil used to summon Guardian of Throne Approach on Legendary difficulty.,item/sigil_c3z2b.png
sigil_c3z2b,item,Sigil,Orange,,Throne Approach Sigil (Nightmare),A binding sigil used to summon Guardian of Throne Approach on Nightmare difficulty.,item/sigil_c3z2b.png
sigil_c3z3b,item,Sigil,Green,,Shattered Spire Sigil (Normal),A binding sigil used to summon Guardian of Shattered Spire on Normal difficulty.,item/sigil_c3z3b.png
sigil_c3z3b,item,Sigil,Blue,,Shattered Spire Sigil (Hard),A binding sigil used to summon Guardian of Shattered Spire on Hard difficulty.,item/sigil_c3z3b.png
sigil_c3z3b,item,Sigil,Purple,,Shattered Spire Sigil (Legendary),A binding sigil used to summon Guardian of Shattered Spire on Legendary difficulty.,item/sigil_c3z3b.png
sigil_c3z3b,item,Sigil,Orange,,Shattered Spire Sigil (Nightmare),A binding sigil used to summon Guardian of Shattered Spire on Nightmare difficulty.,item/sigil_c3z3b.png
sigil_c4z0b,item,Sigil,Green,,Rimewood Sigil (Normal),A binding sigil used to summon Guardian of Rimewood on Normal difficulty.,item/sigil_c4z0b.png
sigil_c4z0b,item,Sigil,Blue,,Rimewood Sigil (Hard),A binding sigil used to summon Guardian of Rimewood on Hard difficulty.,item/sigil_c4z0b.png
sigil_c4z0b,item,Sigil,Purple,,Rimewood Sigil (Legendary),A binding sigil used to summon Guardian of Rimewood on Legendary difficulty.,item/sigil_c4z0b.png
sigil_c4z0b,item,Sigil,Orange,,Rimewood Sigil (Nightmare),A binding sigil used to summon Guardian of Rimewood on Nightmare difficulty.,item/sigil_c4z0b.png
